Employee_Id,Department,Region,Education,Gender,Recruitment_Channel,No_Of_Trainings,Age,Previous_Year_Rating,Length_Of_Service,Awards_Won,Avg_Training_Score,Performance_Rating_Category
8724,Technology,Region_26,Bachelors,Male,Sourcing,1,24,3,1,No,77,Average
74430,Hr,Region_4,Bachelors,Female,Other,1,31,3,5,No,51,Average
72255,Sales & Marketing,Region_13,Bachelors,Male,Other,1,31,1,4,No,47,Poor
38562,Procurement,Region_2,Bachelors,Female,Other,3,31,2,9,No,65,Poor
64486,Finance,Region_29,Bachelors,Male,Sourcing,1,30,4,7,No,61,Excellent
46232,Procurement,Region_7,Bachelors,Male,Sourcing,1,36,3,2,No,68,Average
54542,Finance,Region_2,Bachelors,Male,Other,1,33,5,3,No,57,Excellent
67269,Analytics,Region_22,Bachelors,Male,Sourcing,2,36,3,3,No,85,Average
66174,Technology,Region_7,Masters & Above,Male,Other,1,51,4,11,No,75,Excellent
76303,Technology,Region_22,Bachelors,Male,Sourcing,1,29,5,2,No,76,Excellent
60245,Sales & Marketing,Region_16,Bachelors,Male,Sourcing,2,40,5,12,No,50,Excellent
42639,Sales & Marketing,Region_17,Masters & Above,Male,Sourcing,1,40,3,10,No,46,Average
30963,Sales & Marketing,Region_4,Masters & Above,Female,Other,1,34,3,4,No,52,Average
54055,Analytics,Region_24,Bachelors,Male,Other,1,37,3,10,No,82,Average
42996,Operations,Region_11,Bachelors,Male,Sourcing,1,30,5,6,No,58,Excellent
12737,Sales & Marketing,Region_7,Bachelors,Male,Sourcing,1,31,4,4,No,47,Excellent
27561,Operations,Region_27,Bachelors,Female,Sourcing,1,26,5,3,No,56,Excellent
26622,Sales & Marketing,Region_17,Bachelors,Male,Sourcing,1,40,5,6,No,50,Excellent
31582,Procurement,Region_7,Bachelors,Female,Other,1,49,3,7,No,64,Average
29793,Procurement,Region_27,Bachelors,Male,Other,1,27,2,5,No,65,Poor
72735,Sales & Marketing,Region_9,Masters & Above,Male,Sourcing,1,37,5,3,No,47,Excellent
5677,Technology,Region_17,Bachelors,Male,Sourcing,1,25,3,1,No,80,Average
60889,Technology,Region_29,Masters & Above,Male,Sourcing,1,30,1,3,No,83,Poor
51498,Procurement,Region_4,Masters & Above,Male,Other,1,41,3,4,No,76,Average
8566,Finance,Region_20,Bachelors,Female,Other,1,29,4,6,No,58,Excellent
53151,Operations,Region_20,Bachelors,Male,Other,1,33,3,7,Yes,62,Average
16203,Sales & Marketing,Region_17,Masters & Above,Male,Sourcing,1,34,4,6,No,50,Excellent
61083,Analytics,Region_13,Bachelors,Male,Sourcing,1,34,3,3,No,87,Average
74849,Operations,Region_22,Bachelors,Male,Other,1,52,1,10,No,61,Poor
13259,Sales & Marketing,Region_34,Bachelors,Male,Sourcing,1,30,2,3,No,50,Poor
72407,Analytics,Region_2,Masters & Above,Male,Sourcing,2,34,4,7,No,87,Excellent
65237,Sales & Marketing,Region_2,Bachelors,Male,Sourcing,2,43,1,14,No,52,Poor
67672,Technology,Region_17,Bachelors,Male,Other,1,29,3,1,No,85,Average
77460,Sales & Marketing,Region_2,Bachelors,Female,Sourcing,1,35,3,3,No,52,Average
67317,Technology,Region_22,Masters & Above,Male,Other,4,40,3,12,No,77,Average
68788,Technology,Region_23,Bachelors,Male,Sourcing,2,33,4,9,No,83,Excellent
36834,Sales & Marketing,Region_8,Masters & Above,Male,Other,1,30,3,2,No,55,Average
64281,Sales & Marketing,Region_14,Bachelors,Female,Sourcing,2,42,1,3,No,46,Poor
1822,Sales & Marketing,Region_22,Bachelors,Male,Sourcing,3,29,1,3,No,51,Poor
55325,Analytics,Region_22,Bachelors,Male,Other,1,25,3,1,No,88,Average
41432,Analytics,Region_26,Bachelors,Male,Sourcing,1,26,5,4,No,90,Excellent
52061,Sales & Marketing,Region_31,Bachelors,Male,Other,1,27,2,3,No,52,Poor
39973,Operations,Region_13,Bachelors,Male,Other,1,34,5,5,No,66,Excellent
42524,Sales & Marketing,Region_31,Bachelors,Male,Sourcing,1,26,4,5,No,45,Excellent
7935,Technology,Region_2,Bachelors,Female,Other,1,52,5,18,No,80,Excellent
49940,Sales & Marketing,Region_7,Bachelors,Male,Other,1,26,5,2,No,54,Excellent
10059,Analytics,Region_34,Bachelors,Male,Sourcing,3,27,3,2,No,83,Average
44159,Analytics,Region_22,Masters & Above,Male,Other,1,31,3,1,No,84,Average
76691,Operations,Region_23,Bachelors,Male,Other,1,33,4,8,No,59,Excellent
5621,Technology,Region_2,Masters & Above,Female,Other,1,57,1,26,No,76,Poor
24147,Sales & Marketing,Region_2,Bachelors,Male,Other,2,46,1,7,No,49,Poor
33997,Sales & Marketing,Region_19,Bachelors,Male,Sourcing,1,30,2,3,No,50,Poor
64076,Operations,Region_2,Below Secondary,Male,Other,1,21,3,1,No,56,Average
21379,Technology,Region_4,Bachelors,Male,Sourcing,1,26,3,1,No,85,Average
23714,Technology,Region_7,Masters & Above,Male,Sourcing,2,40,3,6,No,81,Average
19866,Technology,Region_23,Bachelors,Male,Other,2,32,3,6,No,79,Average
4529,Finance,Region_22,Masters & Above,Female,Sourcing,1,36,3,2,No,61,Average
64703,Legal,Region_2,Bachelors,Male,Other,1,28,2,2,No,62,Poor
19649,Operations,Region_22,Bachelors,Female,Sourcing,1,29,5,4,No,56,Excellent
6596,Sales & Marketing,Region_2,Masters & Above,Male,Sourcing,1,38,4,4,No,49,Excellent
7999,Technology,Region_4,Bachelors,Male,Other,1,31,2,4,No,78,Poor
4762,Sales & Marketing,Region_22,Bachelors,Male,Other,1,29,1,4,No,46,Poor
5387,Technology,Region_5,Below Secondary,Male,Other,1,23,3,1,No,81,Average
24620,Operations,Region_26,Bachelors,Male,Sourcing,1,41,4,6,No,60,Excellent
57989,Procurement,Region_2,Bachelors,Male,Other,1,29,5,2,No,74,Excellent
75619,Sales & Marketing,Region_28,Bachelors,Female,Other,1,29,2,5,No,51,Poor
65975,Analytics,Region_29,Bachelors,Male,Other,2,28,5,4,No,84,Excellent
51302,Procurement,Region_22,Bachelors,Female,Sourcing,1,31,1,6,No,64,Poor
63714,Technology,Region_4,Masters & Above,Male,Sourcing,1,36,3,4,No,76,Average
70556,Operations,Region_2,Bachelors,Male,Other,3,26,3,4,No,57,Average
70117,Technology,Region_15,Bachelors,Male,Other,1,29,3,2,No,84,Average
51972,Analytics,Region_7,Bachelors,Male,Sourcing,1,32,4,6,No,85,Excellent
60572,Sales & Marketing,Region_2,Bachelors,Female,Other,1,40,1,10,No,50,Poor
9548,Analytics,Region_22,Bachelors,Male,Sourcing,2,38,4,13,No,87,Excellent
64,Analytics,Region_4,Bachelors,Male,Other,1,42,5,11,No,80,Excellent
35510,Procurement,Region_29,Masters & Above,Female,Other,1,33,3,6,No,68,Average
10732,Analytics,Region_2,Bachelors,Male,Other,1,31,5,5,No,92,Excellent
9214,Operations,Region_3,Masters & Above,Female,Sourcing,1,35,3,4,No,58,Average
10761,Hr,Region_2,Masters & Above,Female,Sourcing,1,58,5,6,No,51,Excellent
32110,Sales & Marketing,Region_28,Bachelors,Female,Sourcing,1,26,2,4,No,48,Poor
50038,Hr,Region_29,Bachelors,Female,Sourcing,1,33,3,8,No,49,Average
1555,Technology,Region_7,Bachelors,Male,Sourcing,1,30,3,3,No,80,Average
21200,Technology,Region_13,Masters & Above,Female,Sourcing,1,43,3,12,No,79,Average
50380,Hr,Region_17,Bachelors,Female,Sourcing,1,31,4,7,No,48,Excellent
45009,Analytics,Region_29,Bachelors,Male,Sourcing,1,32,3,5,No,86,Average
65450,Technology,Region_2,Masters & Above,Female,Sourcing,2,57,2,7,No,83,Poor
77333,Operations,Region_2,Bachelors,Female,Other,1,54,4,22,No,57,Excellent
8443,R&D,Region_22,Masters & Above,Male,Other,2,27,4,5,No,86,Excellent
39490,Operations,Region_22,Masters & Above,Male,Sourcing,1,44,3,10,No,55,Average
69077,Technology,Region_24,Masters & Above,Female,Other,1,37,3,10,No,81,Average
64652,Procurement,Region_7,Masters & Above,Male,Other,1,48,4,8,No,72,Excellent
5254,Sales & Marketing,Region_25,Bachelors,Female,Other,1,31,3,6,No,43,Average
71131,Finance,Region_22,Bachelors,Female,Other,1,28,5,5,No,60,Excellent
19620,Procurement,Region_13,Masters & Above,Female,Other,1,34,3,4,No,69,Average
41266,Sales & Marketing,Region_14,Bachelors,Female,Sourcing,1,44,1,4,No,47,Poor
11001,Sales & Marketing,Region_12,Bachelors,Male,Sourcing,1,27,5,2,No,50,Excellent
28530,Operations,Region_22,Masters & Above,Male,Referred,1,45,3,4,No,57,Average
72481,Sales & Marketing,Region_13,Bachelors,Male,Sourcing,1,24,4,2,No,48,Excellent
67417,Analytics,Region_29,Bachelors,Male,Other,1,37,5,4,No,82,Excellent
51840,Analytics,Region_22,Masters & Above,Male,Other,1,27,3,1,No,86,Average
43223,Legal,Region_22,Bachelors,Male,Other,1,33,3,1,No,59,Average
40287,Sales & Marketing,Region_2,Masters & Above,Female,Other,1,31,1,2,No,53,Poor
29367,Sales & Marketing,Region_7,Masters & Above,Male,Sourcing,3,38,3,5,No,49,Average
36352,Procurement,Region_22,Bachelors,Male,Other,1,32,5,2,No,72,Excellent
29681,Analytics,Region_19,Bachelors,Male,Other,1,29,3,4,No,84,Average
